movie_title,review
베리드,"미스터리, 스릴러 영화의 본분을 다 한 사회 비판 영화"
베리드,(영화가 끝나고) 어?
베리드,이런 걸 어떻게 극장에서 보냐;
베리드,스토리로 끌어간다는 것은 이런 것
베리드,원맨쇼는 이렇게 해야지. 데드풀은 제대로 땀흘리고 제대로 몸부림치며 알차게 세상을 알았다. 2014년
베리드,상상만해도 끔찍
베리드,보는 나도 숨이 막혀온다.
베리드,"린다, 전화 좀 받아..."
베리드,"열악한 환경에서 많은 메시지를 담았다. 사회의 부조리함, 자기 밥그릇 지키기 바쁜 기업들. 근데, 그 결말을 위해 함께 달린 건 아닌데."
베리드,극한의 제약에서 나오는 폭발적인 상상력 속에서 드러나는 조소적인 시스템에 대한 비판.
베리드,"믿었던 모든게 배신된 순간, 사랑 하나만 진실하더라."
베리드,이보다 더 좁은 공간에서 이보다 더 큰 충격과 메시지를 전할 수 있을까.
베리드,작은 아이디어를 극대화 시키다!
베리드,인사담당 새키... 아오...
베리드,공포증이 없는 나도 너무 갑갑하고 옥죄어 왔던 영화. 이 갑갑함의 끝이 희망일지 좌절일지 내가 갇힌것 마냥 생각하며 봤던 영화
베리드,.
베리드,실제로도 전세계에서 이런 일이 많이 일어나고 있다는게 현실.. 공공기관들아 일 똑바로 해라 진짜..
베리드,이유 불문 그냥 극복해
베리드,숨 막히는 장소 숨 막히는 엔딩
베리드,답답
베리드,라이언 레이널즈의 연기는 좋았으나 마지막 5분을 보기 위해 나마저 희망고문 당했다.
베리드,그냥 영화만 보는건데 숨이 막힘...진짜로
베리드,"가장 독창적인 영화, 가장 충격적인 결말"
베리드,"좁은 공간에서 전화기라는 1대 1 대화창구로 긴장감, 안타까움 등 온갖 감정을 짜낸다"
베리드,보는내내 숨막혔다 후 그리고 린다야 전화좀 받아라 아
베리드,영화를 보면서 관객들에게 생생히 전해지는 답답함과 희망고문.
베리드,신선하고 배우의 연기도 좋았다. 근데 너무 뻔하디 뻔했고 극 중 배우가 갑갑한 것이 아니라 감독이 직접 이 영화의 주제는 이거다 라고 말하는 것 같아서 내가 다 갑갑했다
베리드,1시간 35분동안 지속되는 희망고문.
베리드,이거 보고 솔직히 쌌음…ㅎ
베리드,할리우드면 할리우드답게 영웅적으로 끝내달라고...짜증
베리드,우리는 결국 누군가의 타인으로 존재할 뿐이다.
베리드,진짜 숨막힌다.
베리드,좁은 관속에서 한 남자가 절박하게 들려주는 오디오북 비록 그 남자는 관 밖으로 나오진 못했지만 그의 절박함은 스크린 밖으로 뛰쳐 나왔다
베리드,주인공을 제외한 모든 것들이 답답함의 연속 그래서 더 갑갑해지는 관속
베리드,기법이 대단하긴 한데 약시 1시간 반은 긴 시간이고 상황 상 그럴 수 있지만 그래도 행동이 너무 답답하다
베리드,"답답함은 끝나지않는다, 엔딩후에도"
베리드,좁은공간임에도 긴장감이 끊기지않아 지루할 틈이 없었던 영화
베리드,처음부터 끝까지 긴장의 끈을 단 한 순간도 놓치질 않는 원맨쇼.
베리드,지독하게 절망적인 이야기. 그것이 충분한 개연성을 갖는다는 것.
베리드,밤에 침대에서 보면 괜히 침대에서 나오고 싶은 영화
베리드,90분 동안의 충격적인 폐쇄공포증 간접체험.
베리드,숨 막히는 긴장감.. 단순함 속에 담긴 공포.
베리드,전화기 하나로 모든 것을 보여 준다.
베리드,"어휴, 보다가 내가 더 숨 막혀 죽는 줄 알았네. 동네 한 바퀴나 돌고 와야지."
베리드,오로지 그 좁은 관 속에서 라이언 레이놀즈 혼자만의 치열한 연기가 이어진다. 이런 영화를 만들겠다는 것 자체가 도전이었을 듯. 약간의 무리수가 있지만 볼만하다.
베리드,각종 전화 고객만족센터 관리자들한테 보여주고싶은 영화
베리드,세상을 보여주는 참신한 원맨쇼
베리드,관을 소품이 아니라 공간으로 만드는 기지
베리드,이걸 보고 암에 걸렷습니다
베리드,순도 100% 답답함과 갑갑함
케빈에 대하여,"살인자로 태어났을까, 살인자로 키웠을까"
케빈에 대하여,과연 아이의 성향은 타고나는 것이 아닌 엄마의 탓이라고만 할 수 있는가? 그동안 아빠는 무엇을 했는가?
케빈에 대하여,다만 인간적일 뿐
케빈에 대하여,"'좋은 영화는 영화관 밖에서 시작되는 영화'라는 말에 가장 어울리는 작품이다. 시사성에 포커스를 맞춘 영화이지만, 작품내 연출이나 복선 장치가 그 어떤 영화보다도 탁월하다. 엄..."
케빈에 대하여,"오이디푸스 콤플렉스 혹은 근본적 귀인 오류. 케빈이 이렇게까지 된 건 오롯이 태생의 성격 때문이었을까, 자라온 주변 환경 때문이었을까. 영화를 몇 번 봐도 풀리지 않는 미스터리다."
케빈에 대하여,우린 정말 케빈에 대해 얘기해 볼 필요가 있다.
케빈에 대하여,"아들을 사랑하지 못하는 엄마, 그를 정당화하기 위해 사랑을 방애하는 아들, 당연한 것이 아닌 모성에만 책임을 요구하는 사회, 우리는 케빈에 대하여 이야기해야 한다."
케빈에 대하여,그놈의 모성애... 아버지의 저 방관... 너무 참혹하다
케빈에 대하여,"일방향의 사랑, 그 잔인함과 엇갈림, 그리고 일치."
케빈에 대하여,잘못된 모성애로 낳은 괴물.
케빈에 대하여,괴물은 만들어지는 것일까 태어나는 것일까
케빈에 대하여,장면 하나하나 달걀껍질을 씹는 느낌.
케빈에 대하여,"이 정도의 만듦새를 지닌 영화를 만나기란 결코 쉬운 일이 아니다. 섬세한 감정 묘사와 기술적으로 훌륭한 연출, 적재적소에 배치되어 있는 탁월한 음악까지 어느 한 부분도 모난 곳을 ..."
케빈에 대하여,"악마로 태어나는가, 악마로 길러지는가"
케빈에 대하여,세상 모든일은 자신이 원하는대로 되지는 않는다. 그것이 무엇이건 간에 그 원하지 않는 것들을 헤쳐나가야 하는 것이 세상에서 스스로가 해야 할 일이기도 하다. 사랑하는 남녀가 있고...
케빈에 대하여,에즈라 밀러…
케빈에 대하여,"무섭고 음침하고 스산하지만, 어찌 보면 가슴 아프다."
케빈에 대하여,피로 엮인 부모 자식간의 과오는 아무리 긁어내고 지워내도 마음 깊이 남기에.
케빈에 대하여,에즈라 밀러를 볼때마다 케빈 생각나서 다른 작품 볼 때마다 무섭다
케빈에 대하여,이때 에즈라 밀러 진짜 대체불가였는데
케빈에 대하여,해방에 대하여.
케빈에 대하여,에바는 케빈에 대하여 이야기 하였지만 스스로에 대하여도 생각해보아야 할 것 같다. 130902
케빈에 대하여,악마에 대하여
케빈에 대하여,숨막힌다…
케빈에 대하여,"모성애는 그냥 주어지는 게 아니다. 그렇지만 서로를 엄마로, 아들로 인식하지 못했다면 인간 대 인간으로라도 바라봤어야 했어. 엄마로의 지나친 강요와 변화가 너무도 버거웠다."
케빈에 대하여,문제아가 이세계異世界에서 오지 않았다면 어디서 왔다는 것인가?
케빈에 대하여,누구도 에바에게 삿대질을 할 수 없다. 순수악에 대해 에바는 충분히 노력했음에도 불구하고. 아이를 가진 여성이라고 꼭 맹목적인 모성애를 가져야만 하는 건 너무 잔인한 억지같다.
케빈에 대하여,두 명의 소시오패스만 남았다.
케빈에 대하여,증오 넘친다. 4점을 주려했으나 엔딩에서 돌아선다.
케빈에 대하여,.
케빈에 대하여,누구의 잘못인가? 케빈의 성향? 엄마의 보살핌?
케빈에 대하여,이 영화가 좋은 이유
케빈에 대하여,뿌린대로 거둔 비극
케빈에 대하여,깊은 수렁 속으로 침잠하고 나서야 바라보는 서로의 얼굴이자 자신의 얼굴.
케빈에 대하여,케빈을 키우게 된다면? 엄마의 역할이 이렇게 무서운건가? 케빈은 엄마랑 상관 없이 나올 수 있는건가?
케빈에 대하여,우연
케빈에 대하여,재밌게 봤습니다.
케빈에 대하여,"""난 네가 태어나기 전이 더 행복했어. 너도 알지?"" 모성애란 과연 무엇일까"
케빈에 대하여,어디서부터 잘못된 것인지 몰랐을 때 느껴지는 무게감. 에바의 깊은 눈 속에서 보였던 공포를 잊을 수 있을까...
케빈에 대하여,악마를 키워낸 엄마. 엄마의 잘못이라고 할 수 있나.
케빈에 대하여,멘탈 아야 음악들을 넘 잘썼음 엄마와 아들이 서로를 바라보기까지 너무 힘든 시간들이었어.. 다 고생많았다..
케빈에 대하여,내 의지가 전혀 의미가 없는 악몽이란 이런 것일까.
케빈에 대하여,"갑자기, 한 아이의, 엄마가 된다는 것에 대한 두려움."
케빈에 대하여,"사회의 안전망을 같이 들고 있어야 안 무거운데, 지금은 들고 있는 사람들만 개고생한다. 플로리다프로젝트같은, 무슨 사례 중심 연수 100시간 듣는 스트레스"
케빈에 대하여,영악한 어린 악마의 처절한 발악
케빈에 대하여,서슬퍼런 애증에 대하여.
케빈에 대하여,애착형성이 얼마나 증요한지 느끼게 한다. 평범한 가정에서 괴물이 나올 수 있다는 섬뜩함을 영화는 아주 강렬허게 표현했다. 두 번째 감상에선 엄마의 행동과 심리에 집중했다.
케빈에 대하여,내 첫 빨간불 4.5
케빈에 대하여,언제든 자신을 두고 프랑스로 떠나버릴 것만 같은 엄마의 지도를 아들은 망가뜨릴 수 밖에 없다
케빈에 대하여,케빈에 대해 이야기하자고선 에바 얘기하느라고 케빈은 그냥 잘 모르겠는 애로 했다
리코리쉬 피자,누구의 첫사랑도 시시하지 않다. 언제나 찬란하고 비루하고 정열적이고 씁쓸하다.
리코리쉬 피자,다른 세계로 달려가기
리코리쉬 피자,알라나 하임은 연기도 잘하네 근데 약간 거북목이다
리코리쉬 피자,쿠퍼 호프만은 아빠의 젊은 시절 역할로 정말 딱인데 이제 그럴 일이 없다는 게 서글프다.
리코리쉬 피자,그 시절의 향수는 거대한 사건이 아닌 당신 그리고 당신과 함께한 나날들로 기억되는 것.
리코리쉬 피자,.
리코리쉬 피자,PTA의 사랑과 관계 속에서의 집착을 그리는 작품이 이처럼 애틋하고 풋풋할수가.
