movie_title,review
펄프 픽션,왜 극찬을 받는 영화인지는 잘 모르겠다.
펄프 픽션,저렴한데 저렴한 느낌이 없는 명품 신파극이랄까?
펄프 픽션,"94년 개봉당시엔 파격적인 영화였겠지만 20년지난 지금은, 그간 패러디와 오마쥬로 익숙한듯, 친숙하지 않은, 특이한듯 평이함..."
펄프 픽션,분명 아무 생각 없이 자극적인 재료를 머리속에 탈탈 넣었는데 완성되고나니 뭔가 완벽히 계량된것만 같은 자극적이면서도 담백한 요리가 되어있었다.
펄프 픽션,쿠엔틴타란티노에서만 느낄수 있는 타락적이고 피비릿내나는 분 위기가 최고
펄프 픽션,"쿠엔틴의 영화는 많은 생각을 할 필요없이 단지 즐기면 된다. 피터지고 말이 거칠어도 거부하지 말아라. 그러는 순간 당연히 부정적으로 밖에 안보일 것이다. 유쾌하고 신나는 노래, ..."
펄프 픽션,뭔가 싶지만 재미는 보장하는 영화
펄프 픽션,존트라볼타 개핫하다
펄프 픽션,타란티노작품은 한시간은 졸면서 체력을 비축해놓은 후 마지막한시간에 쏟아지는 것들을 정신없이 받아내다가 끝난다
펄프 픽션,B급인척 떡칠해봤자 태가난다
펄프 픽션,핏기와 재치로 번뜩이는 싸구려 잡지 유광 페이지의 맛
펄프 픽션,에스겔서 25장 17절을 찾아볼 줄이야. 제목이 신의 한 수. 찰진 극본이 편집과 액팅의 1급 앙상블로 살아나게 창조한 쿠엔틴 타란티노! 끝까지 생생하다. 1994. 4.0.
펄프 픽션,줄스와 빈센트가 티격태격대는 모습이 너무 웃김 ㅋㅋㅋ
펄프 픽션,영화가 순서대로 가는 게 아니라 마구잡이로 여러 이야기가 섞여 있음에도 전혀 어색하다는 걸 느끼지 못 했다. 깊게 들어가는 것보다는 즐기면서 보면 만족할 영화라고 생각한다.
펄프 픽션,막상 특출난 것 없는 스토리인데 연출로 특출난 영화를 만들어 버렸네
펄프 픽션,형식의 틀을 깬 기상천외하고 재밌는 작품
펄프 픽션,세상 쿨하게 타란티노 영화철학의 근간을 확인한다.
펄프 픽션,거침없고 막힘없는 달변가의 술자리 싸구려 무용담의 향연
펄프 픽션,제멋대로 꿰어도 훌륭한 진주 목걸이
펄프 픽션,잉글리시 마더뻐커 잉글리시!!
펄프 픽션,수 많은 영화의 재미 중에 '몰입'이라는 것이 주는 재미.
펄프 픽션,블랙 코미디 안에서도 캐릭터를 잃지 않는 법. 모든 인물의 모든 대사와 행동이 잊혀지지 않게 하는 법.
펄프 픽션,쿠엔틴의 빌드업용 실험작. 골때리는 전개가 참 ㅋㅋㅋ
펄프 픽션,"다른 시간대의 인물들이 교묘하게 이야기를 쌓아간다. 무슨 내용인지 모르겠다면, 그게 진짜 이 영화의 매력이다."
펄프 픽션,타란티노 최고의 영화
펄프 픽션,양서를 이기는 싸구려 잡지의 매력.
펄프 픽션,농담따먹기 넘 재미없다
펄프 픽션,뒤죽박죽 시간 구성이 참 매력적인 영화이다. 쿠엔틴 타란티노 감독의 입문작으로 매우매우 추천하고 싶다!
펄프 픽션,1500피스짜리 시간의 퍼즐을 흥명나게 끼워 맞춘다.
펄프 픽션,여러 정신없는 이야기가 한데 모여 나를 휘잡아버린 영화
펄프 픽션,쿠엔틴 타란티노가 장르다
