movie_title,review
아가씨(확장판),박찬욱의 화면과 조영욱의 음악은 탁월한 조합 + 박찬욱 변태력 만땅(여러모로)
아가씨(확장판),"러닝타임이 길어졌지만, 늘어지는 파트가 거의 없이 이야기의 깊이와 감정선만 깊어졌다."
아가씨(확장판),"박찬욱감독의 영화는 볼때마다 감탄이 나온다. 눈에 보이는 의상, 배경, 인물, 연출과 대사와 분위기 모두 잘 짜여진 예술작품같다. 이시대에 그의 작품을 볼 수 있는게 그저 고맙다."
아가씨(확장판),시간이 흘러 다시 보니 보이는 여러 요소들...김태리와 김민희가 아니었으면 안 되는 영화라고 생각한다
아가씨(확장판),능글능글한 조진웅과 하정우의 연기가 아름다운 배경과 미스매치되면서 영화는 더 재밌어진다
아가씨(확장판),도파민 충전에 딱 좋은 자극적 영화
아가씨(확장판),그들의 여정은 완벽했다
탈주,이렇게 SEXY한 구교환 처음 봄
탈주,구교환의 말처럼 거기라고 다를게 없을지라도 성공하기 위해서가 아닌 실패할 기회라도 얻고 싶다는 이제훈의 말이 영화가 끝나고도 오래 기억에 남는다
탈주,구교환 연기에 박수치면서 양화대교를 자연스레 흥얼거린다
탈주,"""실패할 자유""에 머리가 띵했다. 임규남의 ""희망합니다""에는 눈물도 핑돌았고..🥲 싹싹 빌면서 본 영화ㅠㅠㅋㅋㅋ"
탈주,실패할지도 모를 내일로 질주하며 살아있다는 것의 의미를 되새기다.
탈주,이런 3류 영화에 구교환이 출연했다는 게 너무 놀랍다.
탈주,너무 억지 설정으로 지루했어요
탈주,임규남씨 사는동안 많이 도전하고 많이 실패하고
탈주,코메디도 아니고 액션도 아니고 사건전개도 이해불가 허접그자체
탈주,극장 탈주 마렵네.
탈주,북한의 낡은 모습을 뒤집어썼지만 스타일 좋은 탈주극.
탈주,영화계 어렵다는 말 하지 마라 이런영화가 투자 되고 만들어지는데 누가 극장가냐??
탈주,초반의 스퍼트를 이어갔다면 좋았을 뜀박질
탈주,와 개빡친다 내시간 별 한개도 아깝
탈주,구교환 연기 너무 좋다.. 다 필요없고 범죄도시4 보다 재미있음. 반신반의 했지만 돈이 아깝지 않았음. 추천... 별4개
탈주,탈주 정보 출연진 시사회 리뷰 후기 무대인사 스포 쿠키 결말 한국 추격극 영화 추천
탈주,공감하기힘든 억지 전개. 배우만 고생
탈주,"소재와 개연성을 희생시키더라도 말하고 싶었던 ""현실과 상황에 안주하지 말고 마음껏 실패하며 조금씩 나아가자""는 바램과 응원"
탈주,"오랜만에 삶에의미 미래를 주재로한 좋은 영화를 보았네요. 아직 안보신분 꼭 보시고, 어린 자녀가 있다면 같이가서 보여주면 좋을 듯 해요. 우리집은 내일 초딩데리고 같이 또봐요"
탈주,긴장감 넘치고 연기는 훌륭하나 너무 많은 생략………짧게 치거 빠지는 영화(?) 내 길은 내가 정합니다
탈주,세상에서 가장 퀴어스러운 탐험이자 탈주
탈주,"사운드를 효과적으로써서 서스펜스 효과를 극대화했고, 그러는 와중에 이따금씩 등장하는 유머 또한 좋다. 또한 목표만을 향해가는 전개 또한 늘어지지않고 시원시원했다. 하지만"
탈주,좋은 영화의 기준?
탈주,실패할 자유를 위해 죽을 각오로 탈주!
탈주,구교환 배우님 악역도 소화 진짜 잘하시고 너무 슬프고 감동적인 영화
탈주,억지 설정에 뻔한 얘기
탈주,총알이 주인공을 피한다;
탈주,이제훈을 보러 갔는데 구교환의 매력에 빠져서 나왔다.
탈주,구교환 매력 넘친다. 긴장감 폭발.
탈주,뻔한 스토리 공감 안 되는 북한 탈출 스토리
탈주,초반의 긴장감보다 후반의 긴장감이 더해졌으면 더 몰입해서 볼 수 있지 않았을까...배우들의 케미는 말해 뭐해..
탈주,체제에 막혀 자유롭게 살지 못하는 것을 견디지 못하고 실패라도 할 수 있는 삶을 살고싶어했던 규남의 탈출기가 애처로웠다.
탈주,'영화는 목줄 묶인 코끼리를 보여주고 싶었지만 실상은 개그 코너 DP다'
탈주,어떤 운명이든 내가 결정해!
탈주,연기가 좋아요….
탈주,영화 탈주 후기: 인물을 중심으로
탈주,킬링타임용으로 꽤괜
탈주,중간까지 전개가 예상하지 못한 방향으로 흘러가는 재미가 있었음. 결말은 예상이되어 김이 새는 느낌.
탈주,단순 액션 영화인줄 알았는데 생각치 못한 핵심주제가 후반부에 갈수록 또렷해져서 더 큰 감동으로 왔다. 많이 봐왔던 형식으로 한국 청년들의 시대상을 반영해 연출한 것이 돋보였다.
탈주,구교환이 기가 막히고 탁월하다는 증명. 현재의 선택이 틀리지 않았음을 증명하라. 배우를 하고 있는 당신의 선택이 틀리지 않았음을 거의 모든 작품에서 매번 증명하고 있는 구교환.
탈주,결국 실패할 자유를 얻은 임규남의 대단한 용기. 도전과 실패를 끊임없이 반복하다 보면 더 많은 자유를 얻을 수 있지 않을까
탈주,가라. 가서 맘껏 실패하라.
탈주,이제 북한 소재 이야기 지겨워 라고 생각했는데 그 생각을 뒤집어준 영화입니다.
탈주,브레이크 고장난 트럭처럼 묵직하게 탈주만을 보고 달리는 주인공. 곁가지 이야기는 최대한 슬립하게. 작품의 호흡만큼은 매우 격렬하다. 주연 두 배우의 연기는 보너스!
탈주,실패할 자유. 지금의 나에게 너무나 와닿았던 메시지.
탈주,연기짱
탈주,이렇게 복합적이고 정신 나갈 것 같고 아름다운 캐릭터는 처음 본다..
탈주,배우들 연기에 비해 여러 상황 해결에 설득력이 없어 아쉽다
탈주,그러니까 이거 코메디죠?
탈주,행복을 향해 달리는 규남이 반면 행복을 포기하고 정해진 억압된 노선에서 수긍하지만 한편 행복을 그리워하는 현상이 서로 바라보는 눈빛은 전율이 흐른다
명탐정 코난: 100만 달러의 펜타그램,코난을 좋아한다면 레전드 극장판이 될지도...... 코난을 잘 모른다면 혼란 그자체
명탐정 코난: 100만 달러의 펜타그램,진짜 대박임.. 흑어도 대박이었지만 이번편 감히 진짜 역대급 전개라고 말할 수 있다!! 추리요소가 많아서 좋았다.
명탐정 코난: 100만 달러의 펜타그램,"추리의 매력을 살리기 위해 노력한 점은 인상적이지만, 헤이지와 키드 중 한명만 메인으로 등장시키는 것이 좋았을 거라고 느껴질 만큼 산만한 전개가 아쉽다."
명탐정 코난: 100만 달러의 펜타그램,초반까지는 흥미로운데 후반은 우리가 아는 코난 극장판. 원작과의 연계가 늘어남으로 다소 장벽이 있는 편.
