movie_title,review
대가족,"철가방으로 나오는 사람.. 분장이 너무 오바다.. 의도는 알겠는데, 오바야.."
대가족,따뜻하지만 뻔한 클리세
대가족,가족을 위해 자본주의에 맞서던 아버지의 만두를 나는 기억합니다.
대가족,따스하고 훈훈한 엔딩이 참 첫눈 같다! 흥행과 평가가 열연이 아쉬운 영화! 🥹
대가족,공짜로 봤는데도 시간 아까움. 이런걸 웃으라고 만들었나 싶음
대가족,따끈따끈한 만두에서 느껴지는 온정과 따뜻함
대가족,관객들 거의 빵빵 터졌던 만큼 너무 재밌게 봤어요 슬픈 부분도 있고 마음 따뜻해지는 영화예요
대가족,뿌리깊은 ‘피’보단 ‘정’이라는 새 가족 형태의 제시
대가족,"옆구리 터진 만두로 끓인 국, 고명이 부족하고 국물 맛이 아쉽다"
대가족,그래도 연말에는 이런 영화도.
대가족,이렇게 막 만들어도 되는 거임? 영화를?
대가족,"중반부까지는 재밌었지만, 소재의 한계 때문에 뻔한 영화가 되었다."
대가족,작위적인 면이 있지만 위로 받았다.
대가족,과한 욕심으로 모든걸 망친듯
대가족,"생각보다 재밌게 봤어요. 약간 올드한 개그도 조금 있지만 ㅎㅎ 애기들도 귀엽고 김윤석, 김성령, 이승기 배우의 연기도 좋았구요ㅎㅎ"
대가족,대가족
대가족,왜 롯데에서 투자한 지는 알겠으나 이젠 코믹 신파는 신과함께에서 마무리합시다.
대가족,출산 장려 영화로 손색없네
대가족,이것저것 한데 모아 '가족'이라는 만두피로 봉합
대가족,그렇게 할아버지가 된다
대가족,"마음만으로 빚어지는, 그 뜨거운 시간을 견뎌 더 깊은 맛을 우려내는 만두처럼."
대가족,뻔한 스토리라도
대가족,가족과 함께 웃으며 봤지만 어째선지 물음표만 남는다.
대가족,"우리가 흔히아는 대가족과 다른 의미의 대가족. 의미가 있는 이야기지만 연출이나 스토리,연기 모든면에서 낡았다.타이틀에서 느낄 수 있었던 올드함이 영화속에도 가득하다니…"
대가족,흔한 가족 영화 안에서의 전형적인 드라마.
대가족,장점: 무난하다 단점: 무난하다
대가족,그저 가족은 따뜻할 수밖에 없는 거잖아. 그래서 나도 모르게 눈물이 나더라. 따뜻하니까!
대가족,오랜만에 따뜻하면서도 웃긴 영화. 그때는 다들 사람에 대한 배려가 있었던 것 같아
대가족,평이 왜들 이리 박하지? 난 좋던데... 민어와 돼지고기 넣은 배추만두 먹고 잡다.
대가족,진정한 가족에 대한 물음에 따스히 감싸주는 감독의 대답.
대가족,개봉일에 본 영화 양우석 감독님의 전작을 생각하면 무난하게 볼만하긴 했다
대가족,몇년만 일찍 나왔다면... 천만 관객을 동원했을지도? 어찌보면 맹목족인 가부장적 모습이지만. 그 안에도 따스한 인간미가 있다.
대가족,따듯하다. 그치만 돈 내고 봤으면 아까웠을 듯
대가족,연말 가족영화로 손색이 없음 가족이란 무엇인가 종교란 무엇인가에 대한 가장 친근하고 현명한 대답
대가족,다양한 재료가 섞여 맛있는 만두가 만들어지듯 재밌는 스토리와 인물들로 감동과 웃음을 주는 영화로 기대이상이었음
대가족,만두 가져가라~.
대가족,많은 걸 욱여넣어도 맛 나는 만두처럼 투박한 장면 장면이 산만하고 따뜻하다 add: 전통 가족상을 해체하고 재구성하다
대가족,부추대신 고수맛 소 16겹만두피 참 요상시런 맛
대가족,근본적으로는 전형적인 가족 영화에 새로운 소재를 이리저리
대가족,사람을 우습게 만들지 않고 상황을 웃기게 만들었기에 보다 더 웃으면서 볼 수 있었다.
대가족,생각해 보면 칼칼한 소재를 연기력과 메시지로 슴슴하게
대가족,"오랫만에 따뜻한 ""한국""영화"
대가족,무난함.
대가족,네 가족 찾기에서 내 가족 맡기까지
대가족,"조금씩 부족한 웃음과 감동, 그래도 가족의 따뜻한 온기는 느껴진다."
대가족,쓸데없고 억지스러운 조잡함의 집합
대가족,오갈때 없는 아이들의 우주가 되어주다
대가족,따뜻한 만두의 온정 속 터진 구멍으로 끊임없이 새어나오는 올드함.
대가족,"8.5/부모 뿐만 아닌 온 세상이 한 뜻으로 키워낸, 우주와도 같은 부모와 신이나 다름없는 아이가 한데 모여 이뤄낸 그야말로 커다란 가족."
대가족,너무 재밌게 잘 봄👍👍👍🫶🫶
미드소마 (감독판),찝찝하기만 함........ 영상미는 좋음...
미드소마 (감독판),크게 상처받은 여주가 진정한 마음의 안식처를 찾게되는 따뜻하다 못해 뜨거운 힐링영화 (원랜 만점이였으나 유전을 보고 4.5점으로 하향)
미드소마 (감독판),굳혀진 공포영화의 개념을 역설적으로 파괴시킨다
미드소마 (감독판),이런 공포영화는 여태까지 없었다
미드소마 (감독판),해석적인 부분은 일단 차치하고... 영화 모든 부분의 디테일이 훌륭하네.
미드소마 (감독판),가족의 탄생
