movie_title,review
코다,차이를 부정하지 않고 자연스러운 화해를 시도하는 영화. Both sides now 한 곡만으로도 충분하다
코다,귀로 들으려고 갔다가 마음 뭉클해져서 온 영화.
코다,"주인공만 성장하는 영화가 아닌, 가족 모두가 성장하는 영화라서 더욱 뜻깊고, 감동이었던 영화. 더불어 유머가 적절하게 나와서 재미도 있었다."
코다,가족과 꿈. 해안을 넘어 인생을 양쪽에서 바라보기.
코다,이러나저러나 지지해 주는 가족이 있다는 건 🤟
코다,내 가족도 완벽하진 않아. 난 그래서 많이 사랑해!
코다,"인생영화 코다_ 주기만 하던 과거에서 받기도 하는, 이제는 주고 받는 관계를! 배우다! 에밀리아 존스의 [이제, 양쪽에서]"
코다,"실패 없는 맛, 질리지 않는 사탕 같다"
코다,너무 좋은 영화 입니다. 특히나 노래가 가진 힘은 대단해요!!! 수어까지 하면서 부르는 마지막 씬이 감동 ㅜ
코다,너의 세상을 완뱍하게 이해하진 못하더라도 항상 응원할게.
코다,일찍 철이 든 소녀의 성장기 '노력의 결실'
코다,들리지 않아도 같은 마음을 공유하기에
코다,영화의 가치를 인정하지 않는건 아니다. 그치만 개인적으로 <파워 오브 도그>가 더 좋은 대우를 받았어야 한다고 생각한다.
코다,희망이 가득한 멜로디의 이어짐
코다,농인분들이 연기 해주셔서 더 감동이었다 마자막에 음악회 연출은 생각지도 못했는데 저런 기분이었겠구나
코다,소리 없는 아우성 속 너의 목소리가 보여
코다,로맨스에 흔들리지 않고 주인공만의 성장기에 집중해서 좋았다
코다,결국 소통은 마음으로
코다,"목소리엔 사랑이, 손짓에는 희망이, 눈빛에는 행복이"
코다,소중함을 안고 보내는 멜로디 그 사랑의시선
코다,"차이를 넘어선 아름다운 동행을, 가족의 사랑을 넘어선 꿈을 향해"
코다,꿈이 있다면 그걸 향해 나아가는 거야. 소녀의 전진을 응원해!
코다,수화가 이렇게 아름다웠다니
코다,수어와 표정만으로 마음을 뒤흔드는 트로어 코처의 연기.
코다,모든 가족은 나름대로의 슬픔이 있다
코다,청각장애인 이상하게 여겨도... 너무나 쾌활한 너무라 명랑한 엄마아빠 틴더하는 남동생 그리고 노래하는 우리의 주인공
코다,새로 등극된 나의 인생 영화 큰 기대 없이 시청하였는데 너무 많은 위로와 공감이 되었고 눈물이 나왔다. 한 번은 꼭 봐야하는 영화
코다,1. 마지막 장면 진짜 너무 감동적이었다.😭 2. 조니 미첼 노래 나와서 좋았다. 3. '미라클 벨리에'도 나중에 시간될 때 봐야겠다.
코다,마음이 따뜻해 지는 가족영화
코다,아름다운 보이는 소리
코다,소리로 공감 하지 못해도 마음으로 충분히 공감 할수있다
코다,세상의 양면을 볼 수 있길
코다,영화 내내 흘러간 루비의 삶을 표현하기에 완벽한 선곡이었다. 다들 그렇게 계속 배우면서 살아가야지. 양쪽으로 보려고 노력하면서.
코다,특수한 상황의 보편성이 갖는 힘
코다,.
코다,이제는 어려움을 겪는 사람들을 향한 시선이 바뀔 때도 되지 않았을까
코다,"흥미로운 모순된 상황, 소리가 들리지 않는 음악을 정의한다면."
코다,들리지 않아도 느껴지는 마음으로
코다,어찌보면 장애라는 소재를 가장 차별 없이 가장 현실적이게 담아낸 작품인 듯하다. 어느 한쪽으로 치우쳐지지 않은 관점이 두드러진다. 노래를 들을 때 전율은 덤 어쨋든 우리는 가족이다
코다,재미없어요... 감동줄려는 연출아 보이기는 한데 그거빼고 는 음....
코다,한곡 한곡 따뜻하고 눈물을 흘리게 만드는 영화
