movie_title,review
눈물의 여왕,결혼후 다시 사랑한다는 건.. 부디 이들에게 해피엔딩이길
눈물의 여왕,얼굴이 미장센이고 얼굴이 서사인데 뭐가 더 필요하단말인가
눈물의 여왕,"소문난 잔치라서 와보긴 했지만, 배우들이 다했네. 스토리나 연출이 매력적인지는 잘 모르겠음. 앞으론 요약짤로 봐도 충분하다고 생각한다. 비틀어도 클리세는 클리세구나."
눈물의 여왕,배우와 연기는 좋은데 아직까진 극이 아쉽. 김수현 겨드랑이 애교 긔여웠긔
눈물의 여왕,표절없으면 뼈만 남는 박지은
눈물의 여왕,김지원만 보임 캐릭터에 완전 찰떡! 후반부 제발 잘 이어나가길
눈물의 여왕,슬픈 드라마일 줄 알았는데 김수현님 혼자 코메디 해 주는 드라마였는데... 점점... 실망스럽다가... 엔딩에서는 정말 짜증이 났다... 역시 한국 드라마 엔딩이 아쉽다.
눈물의 여왕,오랫만에 보는 눈이 훈훈한 드라마
눈물의 여왕,진짜 이 드라마보고 후한 점수 준다는 건 이해 불가.. 노잼이고 무슨 드라마가 설득을 줘야 하는데 고구마 1억개 먹는 느낌을 뭘까? 단지 출연자보고 드라마 보는 건 실망스럽다
눈물의 여왕,표절작품을 고급으로 포장해둔
눈물의 여왕,눈물의 여왕은 나였나..
눈물의 여왕,김지원+김수현의 연기가 다했다 로코에서 연기대결을 볼 줄이야!!
눈물의 여왕,5화정도까지는 훌륭했다 시간이 지나고 다시 보고 싶은 작품이 있고 시간이 지나도 다시 보고싶은 생각이 전혀 안드는 작품이 있는데 이 작품은 명백히 후자 연출과 스토리의 멸망...
눈물의 여왕,"스토리만 보면 유치한 로맨스. 하지만 배우들의 연기와 비주얼은 빈 서사를 매우다 못해 세기의 로맨스를 완성. 두 사람, 이렇게까지 연기를 잘했었나..."
눈물의 여왕,표절작을 굳이.
눈물의 여왕,재미있다 김수현배우님의 연기는 진짜 짱 스토리가 부디 고구마가 아니길
눈물의 여왕,얼마나 빨리 달리느냐보다 얼마나 잘 멈추는지가 중요하다는걸 뒤로 갈수록 개판되는 드라마를 보니 절절히 느낀다. 배우들만 열일하네.
눈물의 여왕,"김지원은 쌈마이웨이 , 태.후로 이미 반대되는 캐릭터에서 오는 기대감이있었는데 이번건 전작도 물론그랬지만 이쁘기까지함 김수현은 별그대와 사이코지만ㅡ등 울려야한다는 말이 다시한번 백"
눈물의 여왕,사랑해서 결혼하는데 결혼 하면 사랑을 안하는 이 세상 수많은 커플들에게 익숙함에 소중함을 알려주는 드라마
눈물의 여왕,단지 출연자보고 드라마 보는 건 실망스럽다
눈물의 여왕,어디서 본 듯 한 서사가 이제는 짜증이 날 듯
눈물의 여왕,눈여로 올 한해 행복했어요
눈물의 여왕,대사 한마디 한마디가 와닿아서 울다가 웃다가 오랜만에 잼나게 봄 반전에 반전 아놔 작가님 너무 하심
눈물의 여왕,엔딩 장면은 아쉬움이 남지만 이외에 배우님들의 연기는 압도적이었습니다 2024 최고의 드라마!!
눈물의 여왕,솔직히 유치했음.. 박지은 작가는 김수현 김지원에게 백번 절하십쇼..
눈물의 여왕,단편적인 서사와 억지 전개에 갈수록 매력이 떨어진 드라마
눈물의 여왕,간만에 울고 웃으며 본 로코. 근데 어째 갈수록 연기력을 대본이 못따라가는 것 같음.. 배우들 연기는 다 넘 좋습니다
눈물의 여왕,두남녀 주인공이 다 한 드라마 얼굴도 연기도 예술
눈물의 여왕,외로워도 슬퍼도 나는 안울어..남성 캔디의 탄생
눈물의 여왕,비주얼이 재미져요
눈물의 여왕,이 착품을 몇번이나 봤는줄 몰라요 제 인생드라마입니다 김수현 배우님 쵝오
눈물의 여왕,뒤로 갈수록 힘이 빠지는 아쉬움은... 주인공 얼굴보는 낙으로...
눈물의 여왕,"극 초반 흥미와 배우들의 케미, 연기가 다 했지만 마지막 갈수록 서사와 설정이 아쉬움. 그 격차가 너무함"
눈물의 여왕,스토리가 이토록 엉망인데도 인기작이 된다는 게 놀라움 배우 연기에 기대는 안일함의 끝
눈물의 여왕,의문점 2가지. 역대 시청률과 제목의 의미
눈물의 여왕,개연성...
눈물의 여왕,이젠 신데렐라가 혼수 마련해 오셔야 합니다. 3회 보다가 하차.
눈물의 여왕,우리가 함께 흘린 눈물로 써 내려간 기적의 궤적.
눈물의 여왕,초반에 재미있게 봤는데 재벌집 시골로 도피한 뒤로 모든게 달라졌어
눈물의 여왕,너무 재밌음..
눈물의 여왕,어쩌면 드라마로 익숙할 수 있는 이야기마저 새롭게 만드는 주조연 배우의 캐스팅과 연기합
눈물의 여왕,"박지은 오랫만에 절었다,, 늙어버린 김수현도 안쓰럽"
눈물의 여왕,배우드늘이 다 했지만 재밌다
눈물의 여왕,"이게 재미있다고? 진짜? 볼거는 배우들뿐... 스토리, 연출 멸망수준..."
눈물의 여왕,Best K-drama 2024
눈물의 여왕,Perfect
눈물의 여왕,새로운 것은 없다
눈물의 여왕,내용은 별로지만 배우들의 연기는 좋다.
눈물의 여왕,10회까지 재미있었던 것같다 그 후론 그 내용 보는 게 스트레스였다 배우들의 비주얼 연기력이 아까웠던 드라마 이 배우들 아니면 안봤을텐데
눈물의 여왕,Good
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,퀴어장르이지만 신선한 소재로 재밌게 본 작품
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,배우님들의 연기는 미쳤다...
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,우리는 천국에 갈 수 없지만 사랑은 할 수 있겠지
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,"모든 것이 격동하는 세상에서 유일하게 그 자리를 지켜주는 사랑, 그리고 우정."
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,낭만적인 제목값은 못했지만 이유미 배우를 또 한번 발견하게 된다
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,클리셰라서… 그래서 존나 맛있다 더주세용
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,흐려진 초점에 흘러간 사랑(2.0)
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,조금 더 잘할 수 있었잖아요
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,4.5/얕고 가볍고 불순한 겉핥기식 문제 의식과 진부한 클리셰의 습관적 남발. 그 속에서 청소년 퀴어 로맨스조차 뒷전.
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,"세기말의 혼란 속 몸소 만들어낸 그들의 천국, 지옥 같던 현실도 함께 있어 천국이 될 수 있음을."
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,지난해 서독제때도 봤지만 개봉하고 나서도 본 영화... 음악적인 요소와 두 주인공의 이야기가 어느정도 어우러지긴 했다
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,사랑이란 무엇일까?
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,.
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,어린시절 사랑인지 연민인지 모를 두 인연의 애틋함...
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,설정과 스토리의 부실함을 이유미가 모두 커버
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,뻔한 독립영화 클리셰를 모아놓은 느낌... 너무 기대하고 봤는데 그냥 모든 전개가 예상대로 진행됨...
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,그 시절 나에 대해서도 잘 알지 못했던 그때의 사랑과 연민에 대해 추억을 해보는 시간
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,"퀴어 영화라는 점만으로도 좋았고! 배우들의 연기도 좋았다 ‘여러 형태의 사랑’에서, 형태보다 사랑에 더 집중되어야 하지 않을까 좋은 퀴어 영화가 자주 나오길!"
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,사랑이지.
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,이들의 사랑은 아름다우나 영화는 좀 보기 힘든 면이 있다.
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,눈길을 사로잡는 제목과 배우.그에 비해 아쉬운 스토리. 차라리 뻔하게 갔으면 어땠을까
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,이 삶은 비극이 아닌데 어른들은 비극으로 만드네.
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,"로맨스와 현실적 딜레마, 스포츠계 악행의 이슈에서 균형추를 잡아가는 지난한 여정."
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,별점 5점은 객관성이 상실된 결과라는 말이 있다.
