movie_title,review
킬링 디어,유예기간 45일 안에 사랑하는 짝을 찾지 못하자는 유죄이기 때문에 동물이 되어야 한다는 특이한 설정으로 우리가 보지 못했던 사랑의 허구성을 다룬 <더 랍스터> (The Lobste...
킬링 디어,비극은 원래 이렇게 갑작스럽고 불쾌하고 납득하기 어려운 게 아닐까 싶다.
킬링 디어,신화의 비극을 재현하다
킬링 디어,반항하지 못하는 사람들
킬링 디어,오늘부로 내가 본 영화 중 가장 기분 더러운 영화는 미드소마가 아니라 킬링디어다.
킬링 디어,다시 봐도 난해하다. 공감이 안되니 재미가 없다. 의미도 첮기 어렵다.
킬링 디어,어떠한 신이 주체든 늘 신화는 비슷비슷하다. 신이 내리는 심판이란 이해할 수 없을 정도로 무자비하며 불가해하다 그럼에도 인간은 그 심판을 받아들일 수 밖에 없다
킬링 디어,그 몇 장면은 뇌리에 우악스럽게 박혀버렸다.
킬링 디어,.
킬링 디어,‘여자는 부양될 존재’라는 느낌이 강하다. 마틴은 자신이 몇 년 후면 집을 나갈 거라면서 혼자 남겨질 자기 엄마의 배우자로(아버지로서가 아니라) 스티븐를 원한다. 마틴이 킴을 거부...
킬링 디어,"뜨거움 속의 차가움, <킬링 디어>"
킬링 디어,킬링디어
킬링 디어,기괴하고 스산한 서정
킬링 디어,인신공양로 대가를 치루다!
킬링 디어,베리 키오건이란 배우의 발견
킬링 디어,너무 어려운 영화
킬링 디어,지독하고 불쾌하리만큼 인간의 내면을 관통하여 되씹게 만드는 마력.
킬링 디어,보이지 않는 손에 내 목이 옥죄인 상태로 영화를 보는 기분.
킬링 디어,"시험에 들게 하는 것은 신인가, 악마인가, 인간인가"
킬링 디어,“눈에는 눈 이에는 이” 이 문장이 이토록 끔찍해질 수 있다니..
킬링 디어,정서를 지배하는 기괴함과 음향들
킬링 디어,비극 과 부조리 과연 당신은...
킬링 디어,호불호 갈리겠지만 취향에 맞는 사람들에겐 극호인 영화 이런 부조리극 너무 좋다
킬링 디어,란티모스 감독의 작품을 볼 때 마다 느낀다. 마네킹 로봇같은 인물들이 건조하게 뉴스읽듯 연기한다. 웃기게도 그 단조로움에 배경과 음악을 입히면 스펙터클이 생긴다. 190920
킬링 디어,몰입도 무엇.
킬링 디어,솔직히 이해안된다 마틴이 논리는 상징적의미가 있어 메세지를 전달하려고 한것같은데 그 수단이 복잡하고 비현실적이다 뭔가 심오한 고전 문학을 본 기분이다 추천하고싶진 않다
킬링 디어,초자연적인 힘 앞에 쓸모를 찾게 되는 무력한 가족애.
킬링 디어,영알못
킬링 디어,당신이 나에게 준 고통 똑같이 되돌려준다.
킬링 디어,독특한 형태의 복수극이였다. 신선하기도 하고
킬링 디어,"이토록 무섭고 소름끼치는 '하나,둘,셋,넷'은 앞으로도 못 들을 것 같다."
