movie_title,review
덩케르크,성공한 실패에 관한 이야기 '덩케르크'(감독 크리스토퍼 놀런)는 실패에 관한 이야기다. 1940년 5월 연합군 40만명이 프랑스 덩케르크 해변에서 독일군에 의해 고립됐다가 극적...
덩케르크,전쟁사에 대한 내용이 아니라 인간의 감정에 대한 영화였던것 같다. 러닝타임 내내 몰입을 할 수 있었다.
덩케르크,"살아왔으니 잘했다고 말하는 장님의 말이 영화의 시작이자 끝인것 같다. 그리고 전쟁은 영웅심리, 본능보다도 선의가 그 바탕에 있음을 잊지 말아야한다. 그리고 조명이 너무나 ..."
덩케르크,오스트가기억에남아요
덩케르크,"어제 저녁, 필자의 인생영화는 갱신됐다. 주변 가까운 친구들은 영화가 졸렸다고 했다. 심지어 자고 나온 친구들도 있었다. 그래서 사실 특별한 기대를 하지는 않았다. 그러나 웬걸, ..."
덩케르크,‘왜 IMAX인가’에 대한 어쩌면 놀란이 선사하는 강렬한 실패
덩케르크,작품도 작품이지만 BGM이 기억에 많이 남는다.
덩케르크,"놀란은 완벽하게 2시간 동안 관객을 수장시켰다가 다시금 숨 쉬게 만든다. 관객은 이를 통해 숨(삶)에 대한 진정한 갈증을 느끼게 되고, 이는 곧 피비린내 하나 없이 전쟁의 공포를 ..."
덩케르크,"21세기에 등장한 모든 전쟁 영화의 오이디푸스 콤플렉스였던 <라이언 일병 구하기>의 왕좌를 마침내 계승한 에테오클레스, 폴리케이네스 형제. 기존 영화들과는 꽤나 상이한 방식으로 ..."
덩케르크,세 가지 시간으로 재구성한 생존의 기록
덩케르크,"""세 가지 서로 다른 시공간이 단 하나의 작전을 성공시키기 위해 하나의 점으로 수렴해 간다."""
덩케르크,"정교한 촬영 기법, 사운드, 연출이 어우러져 106분의 러닝타임동안 한순간도 긴장의 끈을 놓기 힘들게 만든다"
덩케르크,전쟁 영화의 새로운 경지.
덩케르크,차갑게 바라보는데 참 뜨거운 영화다. 철수는 항복이 아닌 또 다른 전쟁의 승리였다
덩케르크,"전쟁에서 가장 중요한것은 ""집으로 돌아가는것"""
덩케르크,긴장감을 놓치고 싶어도 놓칠 수가 없다
덩케르크,"살기 위해서, 살리기 위해서"
덩케르크,살아남는 것이 곧 승리.
덩케르크,원래 전쟁영화를 좋아하는 편이긴 한데 특히나 이건.. 전쟁이 끝난 후에도 누구한테 쉽게 말할 수 없을 전쟁 중의 일에 대한 이야기라서 좋았고 엄청 많이 울었다
덩케르크,강렬한 오프닝과 훌륭하게 흘러가는 긴장선
덩케르크,전쟁영화를 싫어하지않지만 기대이하였다. 실화영화에 각색이 필요한 이유를 느낀걸까.
덩케르크,3개의 플롯을 적절하게 보여주는 그만의 자신감. 내 취향은 아니였으나 그럼에도 불구하고 전쟁 영화의 색다른 매력을 느끼다.
덩케르크,놀란의 쉬어가는 애국 코너
덩케르크,차라리 다큐멘터리같은 느낌이네
덩케르크,힘만 잔뜩 준 영화
덩케르크,"이 어려운 걸 크리스토퍼 놀란이 또 한 번 해냈다! '믿고 보는' 타이틀을 가진 몇 안 되는 감독 중 한 명이자, 국내에서 강력하고 많은 팬덤을 보유하고 있는 크리스토퍼 놀란 감..."
덩케르크,"'인셉션', '배트맨 3부작', '인터스텔라' 등을 연출한 '21세기 거장' 크리스토퍼 놀란 감독의 신작 '덩케르크'는 그야말로 남달랐다. 헨드헬드 기법으로 지옥을 선사하는 '..."
덩케르크,"전쟁의 승패보다는 생존에 초점을 둔 영화, 살아남는게 얼마나 힘든지 보여줌"
덩케르크,시점의 차이가 창조해낸 경이로운 전장의 체험기.
덩케르크,"영화의 또 다른 주인공은 '음악'이다. 하늘에서, 해변에서, 바다에서 생사의 경계를 넘나드는 각각의 순간마다 외치는 소리없는 절규들."
덩케르크,크리스토퍼 놀란은 스크린으로 전장을 체험시켰다.
덩케르크,서로다른 3개의 시점이 하나로 합쳐지며 오는 스토리와 사운드와 아름다운 화면이 주는 쾌감
덩케르크,"전쟁의 물리적인 교전의 장면만이 아닌, 전쟁 자체의 많은 것을 보여준다."
덩케르크,전쟁의 승리보다 생존에 관점을 둔다면
덩케르크,영화 덩케르크 리뷰
덩케르크,전장에 떨어진 주인공을 비추거나 그러는 대신 관객을 전장에 떨궈버린다.
덩케르크,감독이랑 강렬한 현실감 때문에 진짜 폭탄을 썼을까봐 불안해지는 영화
덩케르크,덩케르크
덩케르크,전쟁 영화에 시간과 체험이라는 새로운 패러다임을 제시한다.
덩케르크,"지키려는 자, 살려는 자, 살리고자 하는 자. 이들의 공통점은 ‘인간‘이다."
덩케르크,전쟁영화중에서 탑임
덩케르크,"몸이 건강한 msg 무첨가 전쟁영화, 그런데 놀란을 곁들인."
덩케르크,"그저 살기 위해, 살아 남기 위해."
덩케르크,육해공 3등분으로 조각해낸 새로운 전투영화.
덩케르크,전쟁을 바라보는 관점의 차이
덩케르크,가장 위대한 실패 이야기
덩케르크,가장 새로웠던 전쟁 영화
덩케르크,"일주일, 하루, 한시간 생존을 위한 그 모든 시간들⏱️"
덩케르크,과연 이 영화의 감독이 크리스토퍼 놀란이 아니었다고해도 이정도의 찬사를 받았을까?
덩케르크,진짜 오지게 실망했다. 영국민만 좋아할 영국뽕 다큐멘터리. 진짜 제대로 실망했다. 주장하는 바도 연출도 스토리도 별로였다. 돈 아깝다.
폭락,일론머스크가 대한민국에서 태어났다면...?
폭락,기승전결 없는 밋밋하고 아쉬운 맛
폭락,음악이 무서워서 스릴러처럼 느껴진 암호화폐 스릴러
폭락,"배우들의 연기가 돋보였고, 많은 메시지를 던져주는 아주 볼만한 영화!"
폭락,모노드라마 한 편을 본 기분..... 여운 남아요
폭락,폭락
폭락,우리의 삶이 모두 이렇다 할순 없지만 우리 삶에 일정부분의 모습이 전혀 없다고도 말할 수 없다. 영화적 아쉬움은 있지만 사회에 대한 많은 생각을 갖게 만드는 좋은 작품이다.
폭락,음악이 특이해서 머릿속에서 계속 맴 돔ㅋㅋㅋ 새삼 송재림 배우 연기 잘 하는 배우였구나 했음ㅠㅠ
폭락,사전지식 없이 영화를 만드면 이렇게 됨
폭락,프로파간다를 새겨놓은 영화같음 딱히 찍을거 없으면 영화를 만들질말지 적당히 얼버무린 프로파간다랑 클리쉐 적당히 섞어놓음
폭락,"사업과 사기의 한끗차이를 보여준 작품, 다만 스토리라인이 아쉽고 송재림 배우의 유작으로 그의 연기는 빛난다"
폭락,.
폭락,떡밥회수의 실패 너무 많은 예기를해 이도저도 아닌 영화. 영화 완성도의 폭락은 폭망으로 이어진다
폭락,죽어야 사는 남자가 꿈 꾼 추락의 기쁨을 방조하다.
폭락,정극 연기하는 범죄 재연 프로그램 add: 1. 20분 짜리 지상파 호흡 2. 배우 마스크 송재림을 추모하며
폭락,픽션은 현실을 극복 할 수 없다
폭락,실체가 없는 허상을 좇던 자
폭락,"연출도, 편집도, 음악도 모두 “폭락”했던 영화"
검은 사제들,일단.. 아가토가 너무 잘생겨서 몰입이 깨지긴 함..
검은 사제들,무서운걸 안 좋아하는데 살짝 덜 매운 맛이라서 더 좋음
검은 사제들,"박소담, 이 소녀를 주목하라"
검은 사제들,검은 사제들만의 분위기가 정말 좋다. 한국에서 이런 호러 영화가 나올 수 있다는 것에 감사했다. 정말 재미있는 한국 공포 영화.
검은 사제들,강동원 사제복 입은 모습은 큰 스크린에서 봐줘야죠!
검은 사제들,강동원 잘생긴 얼굴 보려고 봤던 영화였는데 구마 하는 장면 모든게 다 좋았습니다. 박소담배우 연기가 정말👍..
검은 사제들,영적분야에 대해 생각할 수 있는 영화.
검은 사제들,한국에서 볼 수 없었던 오컬트형 미스터리
검은 사제들,김윤석 강동원 박소담 케미가 멋졌다. 한국형 엑소시즘인데 오히려 서양것 보다 세련됐다. 파묘의 대삿굿과 연결되는 무당씬도 좋았다. 오컬트 장르 이런 것보다 멋진 영화다.
검은 사제들,'분명 봤다고...!' 전국민을 환각의 빠트린 전설의 영화 근데 정말 아가토 뒤에 후광 있었다고.....
검은 사제들,두 노련한 배우 사이에서도 밀리지 않는 박소담의 단단함이란...
검은 사제들,장재현 감독의 가장 큰 장점 : 안심하고 봐도 좋다는 것!
검은 사제들,유명 배우들로도 인상적인 공포 영화를 만들 수 있다는 것을 보여준 작품
검은 사제들,강동원배우님의 후광을 나도 느꼈다 결말은 아쉽지만 진짜 몰입짱이다 배우님들 연기가 대단했던 영화 시리즈 계속 보고싶다
검은 사제들,박소담 배우의 발견
검은 사제들,"예상보다 훨씬 수작이다. 장르물이라서 많이 우려를 했었는데 이야기 전체를 이끌어가는 긴장감, 김윤석과 강동원의 배경 이야기가 영화 전체의 설득력을 높여준다. 평소 오컬트나 엑소시즘..."
검은 사제들,"각각의 캐릭터가 스토리는 있지만 소개하고 넘어가는 정도인 깊이가 아쉬웠고, 메인이 되는 구마의식은 점프스퀘어나 큰거 한 방 없이 깔끔하게 잘 구현해서 괜찮았다."
검은 사제들,후광이 분명히 있었다구요
검은 사제들,강동원하고 박소담이 미친캐리를 보여줬다.. 이거보고 검은수녀들 보러간 내자신이 싫다
검은 사제들,우리나라 배경으로 오컬트 장르를 이렇게 녹여냈다는게 놀랍다
검은 사제들,영화 검은 사제들 리뷰: 한국 오컬트물의 지평
검은 사제들,한국에서 이런 영화가 나왔다니 놀라움.
검은 사제들,강동원 후광효과는 높게만 보였던 오컬트 장르의 진입장벽을 낮춰주었다.
검은 사제들,다시봐도 재밌다 박소담 대단 !!!!!
검은 사제들,과감한 시도의 한국형 엑소시즘..!
검은 사제들,탄탄한구성
검은 사제들,강동원은 사제 옷을 입어도 멋있다...
검은 사제들,박소담배우님을 처음알게된 정말최고였다
검은 사제들,장재현 감독의 한예종 졸업 작품인 단편 영화 12번째 보조사제를 장편화 2015년 개봉 영화. 배우 김윤석과 강동원의 완벽한 연기 호흡과 박소담의 신들린 연기.
검은 사제들,한국에서 이런 오컬트물이라니 신선한 충격.
검은 사제들,보고있으면 귀신 들리는 느낌..
검은 사제들,다소 어색할 수 있는 악령 퇴마 소재를 매끄럽게 풀어낸 뛰어난 몰입감의 오컬트 영화
검은 사제들,이야기에 몰입되어 보게 되다. 설마 나 오컬트 좋아하냐?
검은 사제들,나는 분명 30분 짜리 이야기 보따리를 풀었는데 2시간 짜리가 나왔다. 그것도 막힘없이 사족없이 완벽하게!
검은 사제들,퇴마물의 매력을 마음껏 뽐낸 영화.
검은 사제들,한국형 오컬트의 시작
검은 사제들,🧍🏻🔔🌫👀
검은 사제들,우리나라 정서와는 전혀 맞지않는 옷임에도 배우들의 스타파워와 적절한 오락성으로 꽤 괜찮은 영화가 탄생했다. 외국공포영화도 쉽게 흥행하기 힘든 소재로 도전하여 어색함보단 놀라움으로 ...
검은 사제들,이 영화보고 강동원 입덕 안한 사람 있을까?
검은 사제들,장르가 지녀야만 하는 마땅한 명분과 짧지만 분명한 서사가 전체적인 스토리를 꽉 잡고 간다. 오컬트 입문자에게도 그리 어렵지 않은 영화. 적당한 재치가 포인트다.
검은 사제들,4885아저씨가 물어보면 대답해야지
검은 사제들,국산 오컬트 무비의 새로운 시작
검은 사제들,강동원 영화…
검은 사제들,"오컬트 무비의 정석, 출연진들의 우수한 연기력, 몰입에 방해되는 요소가 하나도 없는 작품"
검은 사제들,시작
검은 사제들,"악마가 참 순해. 공포는 어디에서 기인하는가, 비겁함?"
