movie_title,review
씬 시티,매력없고 단순하며 자극적이기만한 이야기들의 나열에 짜릿하다가도 물리기도한다.
씬 시티,"흥미로운 연출과 미장센, 만화적 장면을 잘 표현했다"
씬 시티,강렬했던 흑백의 기억
씬 시티,빛좋은
씬 시티,끈적한 중2병이 난무하는 마초와 정의의 영화. 남자는 순정마초이고 여자는 요조숙녀같은 밤의여자. 언제봐도 흥겨웁다. 2013년
씬 시티,영화가 아니라 만화책을 보았다
씬 시티,역시나 영상미로 압도한다.
씬 시티,섹시함의 극치
씬 시티,흑백노랑색.
씬 시티,거친 흑백화면을 수놓는 등장인물들의 독백과 섹시한 음악이 관객을 중독시킨다.
씬 시티,"검은 도시 속 붉은 상처와 노란 두려움. 혁명적인 영상, 아쉬운 스토리."
씬 시티,.
씬 시티,함부로 흉내낼 수 없는 이미지.
씬 시티,"""난 존나 미치도록 섹시해"""
씬 시티,콕 집어 취향 저격
씬 시티,말그대로 영혼을 얻은 그레픽노블
씬 시티,홀리씟 갓뎀 섹시
씬 시티,흑백의 대비가 도시의 죄와벌을 다루는듯한
씬 시티,이렇게 패셔너블하고 센세이셔널할 수도 있구나!
씬 시티,거칠고 고약하고 악독한데 묘하게 도취되는 도시에서 2시간 순삭 마실하기.
씬 시티,만화적 특성을 그대로 현실로 옮겨 옴. 감각적 연출과 미장센은 아직도 볼만하다.
씬 시티,피와 폭력이 난무하는 씬 시티 안에서도 누군가는 사랑하는 이들을 묵묵히 지켜내고 있다. 물론 피와 폭력으로.
씬 시티,ㅋㅋ
씬 시티,괜히 눈만 아프다 끝났다
씬 시티,병맛이 너무 짜다.
씬 시티,영상미는 좋으나 내 취향은 그닥
씬 시티,아 유치하다
씬 시티,보는 내내 눈 깜빡임도 허락되지 않는다.
씬 시티,어쩜 이렇게 여자를 구하는 나...☆에 취해있으면서도 정작 그 여자들 옷 한 번 제대로 입히는 법이 없냐
씬 시티,만화적 실험 속 주객이 전도된 주제와 스타일.
씬 시티,무섭도록 경쾌한 범죄자들의 이야기.
씬 시티,섹시한 흑백영화. 앞으로 또 이런 영상을 볼 수 있을까?
씬 시티,흑백과 컬러를 잘 사용한 스타일리시영화
씬 시티,한없이 구릴 거면 재미라도 있을 것이지 재미도 없다. 머리 비우고 보려고 해도 넘어갈 수가 없다. 구성 말고는 별로 타란티노 색도 안 보인다.
씬 시티,가장 섹시한 도시.
씬 시티,그래픽 노블 그대로 옮기면서 성실한 각색이 돋보인다. 2편이여 빨리 나와라!
씬 시티,사람들의 눈길을 사로잡을 영화인 것 같다.
씬 시티,만화를 영화에 담그다
씬 시티,스토리는 영화보다 소설처럼 읽힌다.
씬 시티,"섹시한 내레이션들은 내 귀를 장악했고, 흑백에서 피어있는 색감들은 내 눈을 장악했고, 그 속의 멋진 사랑들이 내 가슴을 장악했다."
씬 시티,볼만하다.
씬 시티,흑백의 화면과 어울리는 이야기의 구성은 매우 매력적이지만 재미와 몰입감을 느끼기에는 다소 부족하다.
씬 시티,내용은 둘째치고 일단 저 서양코믹스러운 연출을 세련되게 살린 시점에서 이미 대단하다고 생각한다.
씬 시티,흑백이어서 더 명작인 듯
씬 시티,흑백의 만화적 연출로 만화같은 실사 영화
씬 시티,컬러를 보여주기 위한 흑백 도화지
씬 시티,영화를 만화처럼 만든 스타일의 독특함은 인정합니다. 그러나 잔혹한 폭력성을 숨기고 개연성 없이 스토리가 얼렁뚱땅 넘어가는 수단이 되면 곤란합니다.
씬 시티,"장르 그 특성만 놓고 봤을 땐 특유의 감성과 향수, 아우라에 취해 볼 수 있는 영화"
씬 시티,만화같은 영상과 폭력의 조화. 심 시티와 오해하지 말라는... 브루스 윌리스의 의리를 보다가 나도 모르게 제시카 알바에 입고리가 올라가는 영화. 흑백과 함께 흐르는 레드와 옐로우.
씬 시티,지극히 신선한 그래픽과 뻔뻔할 정도로 고전적인 이야기의 잡탕
댓글부대,임상진 기자는 과연 진실이었을까?
댓글부대,진실이 섞인 거짓은 진실이 된다
