movie_title,review
킬 빌: 1부,한동안 피철철에 빠져 킬빌시리즈 열심히 본듯
킬 빌: 1부,타란티노식 감미로운 뇌절 B급 영화
킬 빌: 1부,영화계의 무한도전 (진짜온갖예능브금이다나옴)
킬 빌: 1부,잔인한만큼 이야기의 몰입감이 상당한 복수극.
킬 빌: 1부,얼큰한 쿠엔틴식 해장국
킬 빌: 1부,퓨전 익스플로테이션의 종집합체
킬 빌: 1부,오로지 쿠엔틴 타란티노 감독만이 할수 있는 잔혹함과 액션을 극한으로 보여준 영화
킬 빌: 1부,그래 발 페티쉬 있는거 알겠으니까 진정해
킬 빌: 1부,중독성있는 칼칼한 맛
킬 빌: 1부,뇌절도 이만큼 하면 작품이 된다.
킬 빌: 1부,감독이 좋아하는 걸 다 때려넣은 화끈한 잡탕
킬 빌: 1부,가장 좋아하는 것을 가장 잘 표현할 수 있을 때.
킬 빌: 1부,우아하게 피 비릿내 나는
킬 빌: 1부,피가 사방으로 튀는 잔인함에서 카타르시스를 느낀다.
킬 빌: 1부,피의 폭포 속 춤추는 복수의 여신
킬 빌: 1부,연출과 촬영기법이 너무 좋고 브금들이 다 너무 좋다. 영화를 이제 봤을까...
킬 빌: 1부,"과한 것 같으면서도, 재미를 충족시키는 화끈한 복수극"
킬 빌: 1부,복수에는 피 맛이지.
킬 빌: 1부,타란티노 감독의 도전적인 영화임을 알게됨 무엇보다 브금이 예능에서 나온거라 나도모르게 피식 거린듯 전혀 그런 장면이 아님에도..
킬 빌: 1부,가볍고 독특하게.
킬 빌: 1부,충격적인 액션과 살벌하게 잔인한 장면들이 통쾌하면서도 불쾌함도 공존했다 복수를 소재로한 영화는 권선징악이 확고해서 언제나 뒤끝은 깔끔하다 연기도 좋았고 특별한 색감이나 장면들
킬 빌: 1부,영화 자체가 거대한 패러디다. 그렇지만 완성도는 타란티노 오리지널
킬 빌: 1부,고어와 카타르시스 향연의 절정.
킬 빌: 1부,그 시절에 봤으면 연출에 경악을 금치 못했겠지만..
킬 빌: 1부,오로지 영화를 통해 느끼는 카타르시스!
킬 빌: 1부,!!!!
킬 빌: 1부,장르가 곧 타란티노.
킬 빌: 1부,Kill Bill: Vol. 1
킬 빌: 1부,그냥 한마디로 정리하면 미쳤습니다
킬 빌: 1부,너무 재밌어!! 쿠엔틴 타란티노 미친넘ㅋㅋㅋㅋㅋㅋ 왜 박찬욱이랑 서로 좋아하는지 납득함 웃음이난다웃음이..
킬 빌: 1부,.
킬 빌: 1부,“Just funny”
킬 빌: 1부,"무엇을 가져와 섞더라도, 그 핵심에 시네마에 대한 열정과 사랑이 있다면."
킬 빌: 1부,연출이 새롭고 다양해 눈이 즐겁다
킬 빌: 1부,복수에는 끝이 있을까?
킬 빌: 1부,핏빛으로 이리저리 썰리는 가운데 꽃피는 타란티노의 고급스러운 청취.
킬 빌: 1부,1970년대 무비를 집약해 놓은 완벽한 결정체!!
킬 빌: 1부,클래식.. 클래식!!
킬 빌: 1부,쿠엔틴 타란티노 감독의 취향을 가득 담은 영화. 그러나 내 취향은 아닌...
킬 빌: 1부,미장센 좋은 그냥 b급 액션영화임
킬 빌: 1부,유명한 장면이랑 노래는 많이나오는데 뭐하는 영환지 모르겠ㄷㅏ...
킬 빌: 1부,B급 영화에 관한 감독의 사랑을 증명한다.
킬 빌: 1부,주인공은 한없이 진지한데 세상에서 가장 유쾌한 슬래셔 복수물 타란티노가 살면서 본 영화들이 용광로 속에 녹아들어가 킬 빌이라는 영화로 찍어져 나왔다. 24.4.6
킬 빌: 1부,모두가 다 아는 ost 모음집
킬 빌: 1부,이거 3까지봤는데 3까지 나는 다 재밌게봄
킬 빌: 1부,액션 장르가 이래야함을 제대로 보여주는 영화
킬 빌: 1부,"타란티노는 미친놈이다. 10편 넘게 계속 만들어주길,,,"
킬 빌: 1부,재밌어요!
킬 빌: 1부,타란티노 영화 중 제일 좋다고 생각하진 않지만 이 영화에 비친 타란티노의 모습을 제일 좋아한다.
킬 빌: 1부,상업성의 극치가 액션의 극한에서 화려하게 미소짓는다
해리 포터와 불의 잔,시리즈 중 가장 좋아하는 영화
해리 포터와 불의 잔,이 영화를 기점으로 해리포터가 제대로 시작된다고 봐도 무방하지 않을 듯 공감하는 사람?
해리 포터와 불의 잔,진짜 여기서 저 오빠는 누구지 했는데 그분이 바로 애드워드…….. 다시 리즈 시절로 돌아와요 제발……. 사실 모든게 다 볼드모트의 계획이라는 사실이 정말 놀라웠습니다 재능이…..
해리 포터와 불의 잔,영원한 명작
해리 포터와 불의 잔,"이제 본격적으로 등장한 ""그 사람"""
해리 포터와 불의 잔,해리포터 시리즈의 전환점
해리 포터와 불의 잔,해리포터 시리즈의 중요한 분기점
해리 포터와 불의 잔,본격적인 느낌
